protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000358983 152
9606.ENSP00000000233 9606.ENSP00000445381 160
9606.ENSP00000000233 9606.ENSP00000265062 402
9606.ENSP00000000233 9606.ENSP00000265074 169
9606.ENSP00000000233 9606.ENSP00000355925 437
9606.ENSP00000000233 9606.ENSP00000357288 152
9606.ENSP00000000233 9606.ENSP00000342793 397
9606.ENSP00000000233 9606.ENSP00000267199 156
9606.ENSP00000000233 9606.ENSP00000354718 168
9606.ENSP00000000233 9606.ENSP00000416387 231
9606.ENSP00000000233 9606.ENSP00000385749 216
9606.ENSP00000000233 9606.ENSP00000319781 246
9606.ENSP00000000233 9606.ENSP00000311449 452
9606.ENSP00000000233 9606.ENSP00000215812 192
9606.ENSP00000000233 9606.ENSP00000265395 154
9606.ENSP00000000233 9606.ENSP00000381785 196
9606.ENSP00000000233 9606.ENSP00000228945 252
9606.ENSP00000000233 9606.ENSP00000317473 336
9606.ENSP00000000233 9606.ENSP00000397798 166
9606.ENSP00000000233 9606.ENSP00000479606 405
9606.ENSP00000000233 9606.ENSP00000352438 313
9606.ENSP00000000233 9606.ENSP00000346037 227
9606.ENSP00000000233 9606.ENSP00000209728 224
9606.ENSP00000000233 9606.ENSP00000314499 313
9606.ENSP00000000233 9606.ENSP00000265171 232
9606.ENSP00000000233 9606.ENSP00000478892 177
9606.ENSP00000000233 9606.ENSP00000446917 165
9606.ENSP00000000233 9606.ENSP00000304283 239
9606.ENSP00000000233 9606.ENSP00000341344 645
9606.ENSP00000000233 9606.ENSP00000356920 188
9606.ENSP00000000233 9606.ENSP00000251507 339
9606.ENSP00000000233 9606.ENSP00000328287 270
9606.ENSP00000000233 9606.ENSP00000480573 222
9606.ENSP00000000233 9606.ENSP00000250559 256
9606.ENSP00000000233 9606.ENSP00000419782 151
9606.ENSP00000000233 9606.ENSP00000324464 260
9606.ENSP00000000233 9606.ENSP00000345853 170
9606.ENSP00000000233 9606.ENSP00000245304 178
9606.ENSP00000000233 9606.ENSP00000225430 200
9606.ENSP00000000233 9606.ENSP00000369689 307
9606.ENSP00000000233 9606.ENSP00000304604 151
9606.ENSP00000000233 9606.ENSP00000362334 153
9606.ENSP00000000233 9606.ENSP00000481721 176
9606.ENSP00000000233 9606.ENSP00000336724 183
9606.ENSP00000000233 9606.ENSP00000378557 204
9606.ENSP00000000233 9606.ENSP00000261769 179
9606.ENSP00000000233 9606.ENSP00000315299 471
9606.ENSP00000000233 9606.ENSP00000380334 207
9606.ENSP00000000233 9606.ENSP00000355866 151
9606.ENSP00000000233 9606.ENSP00000356489 151
9606.ENSP00000000233 9606.ENSP00000348215 160
9606.ENSP00000000233 9606.ENSP00000442682 361
9606.ENSP00000000233 9606.ENSP00000299138 263
9606.ENSP00000000233 9606.ENSP00000380530 151
9606.ENSP00000000233 9606.ENSP00000290378 213
9606.ENSP00000000233 9606.ENSP00000370376 205
9606.ENSP00000000233 9606.ENSP00000359297 240
9606.ENSP00000000233 9606.ENSP00000281821 168
9606.ENSP00000000233 9606.ENSP00000258301 181
9606.ENSP00000000233 9606.ENSP00000298573 188
9606.ENSP00000000233 9606.ENSP00000376457 153
9606.ENSP00000000233 9606.ENSP00000349168 281
9606.ENSP00000000233 9606.ENSP00000338769 463
9606.ENSP00000000233 9606.ENSP00000362339 170
9606.ENSP00000000233 9606.ENSP00000378721 322
9606.ENSP00000000233 9606.ENSP00000481878 186
9606.ENSP00000000233 9606.ENSP00000369810 194
9606.ENSP00000000233 9606.ENSP00000356811 156
9606.ENSP00000000233 9606.ENSP00000355493 187
9606.ENSP00000000233 9606.ENSP00000220062 269
9606.ENSP00000000233 9606.ENSP00000229340 250
9606.ENSP00000000233 9606.ENSP00000303507 166
9606.ENSP00000000233 9606.ENSP00000358309 158
9606.ENSP00000000233 9606.ENSP00000258390 178
9606.ENSP00000000233 9606.ENSP00000360860 200
9606.ENSP00000000233 9606.ENSP00000339381 210
9606.ENSP00000000233 9606.ENSP00000255030 173
9606.ENSP00000000233 9606.ENSP00000263025 187
9606.ENSP00000000233 9606.ENSP00000229812 187
9606.ENSP00000000233 9606.ENSP00000453858 197
9606.ENSP00000000233 9606.ENSP00000350937 195
9606.ENSP00000000233 9606.ENSP00000269321 285
9606.ENSP00000000233 9606.ENSP00000483786 220
9606.ENSP00000000233 9606.ENSP00000352121 160
