protein1 protein2 combined_score
4932.Q0085 4932.YDL193W 225
4932.Q0085 4932.YBR146W 267
4932.Q0085 4932.YKL180W 161
4932.Q0085 4932.YDR293C 179
4932.Q0085 4932.YKL003C 223
4932.Q0085 4932.YDR167W 167
4932.Q0085 4932.YBR088C 189
4932.Q0085 4932.YMR072W 305
4932.Q0085 4932.YDR226W 285
4932.Q0085 4932.YNL088W 602
4932.Q0085 4932.YLR295C 991
4932.Q0085 4932.YKL094W 188
4932.Q0085 4932.YKL141W 545
4932.Q0085 4932.YLR008C 512
4932.Q0085 4932.YOL077W-A 941
4932.Q0085 4932.YPR024W 709
4932.Q0085 4932.YGR020C 900
4932.Q0085 4932.YHR051W 499
4932.Q0085 4932.YER179W 174
4932.Q0085 4932.YJR113C 379
4932.Q0085 4932.YLR075W 338
4932.Q0085 4932.YKR079C 447
4932.Q0085 4932.YMR203W 295
4932.Q0105 4932.YLL018C-A 909
4932.Q0105 4932.YML054C 448
4932.Q0105 4932.YOR297C 169
4932.Q0105 4932.YLR043C 167
4932.Q0105 4932.YER050C 210
4932.Q0105 4932.YLR132C 242
4932.Q0105 4932.YBL030C 499
4932.Q0105 4932.YFR033C 999
4932.Q0105 4932.YPL234C 444
4932.Q0105 4932.YLR388W 250
4932.Q0105 4932.YAL033W 245
4932.Q0105 4932.YPR110C 215
4932.Q0105 4932.YPL013C 453
4932.Q0105 4932.YGL107C 558
4932.Q0105 4932.YNR018W 812
4932.Q0105 4932.YBR109C 291
4932.Q0105 4932.YBR088C 181
4932.Q0105 4932.YMR072W 222
4932.Q0105 4932.YGR209C 167
4932.Q0105 4932.YBR039W 521
4932.Q0105 4932.YBR146W 320
4932.Q0105 4932.YMR203W 435
4932.Q0105 4932.YMR272C 487
4932.Q0105 4932.YKR079C 220
4932.Q0105 4932.YHR051W 994
4932.Q0105 4932.YJR113C 199
4932.Q0105 4932.YKL141W 978
4932.Q0105 4932.YPR024W 426
4932.Q0105 4932.YML120C 963
4932.Q0105 4932.YIL111W 985
4932.Q0105 4932.YPL135W 204
4932.Q0105 4932.Q0045 999
4932.Q0105 4932.YGL187C 993
4932.Q0105 4932.YDR044W 154
4932.Q0105 4932.YML030W 692
4932.Q0105 4932.YOR323C 172
4932.Q0105 4932.YJR121W 797
4932.Q0105 4932.YFR031C-A 209
4932.Q0105 4932.YLR395C 984
4932.Q0105 4932.YPL078C 711
4932.Q0105 4932.YDL140C 253
4932.Q0105 4932.YDL004W 582
4932.Q0105 4932.YBL045C 998
4932.Q0105 4932.YPL252C 218
4932.Q0105 4932.YHR042W 209
4932.Q0105 4932.YMR260C 279
4932.Q0105 4932.Q0080 765
4932.Q0105 4932.YOR202W 171
4932.Q0105 4932.YEL039C 990
4932.Q0105 4932.YOR334W 547
4932.Q0105 4932.YDR256C 206
4932.Q0105 4932.YEL024W 999
4932.Q0105 4932.Q0275 999
4932.Q0105 4932.YDR119W-A 969
4932.Q0105 4932.YPR166C 418
4932.Q0105 4932.YHR086W 334
4932.Q0105 4932.YHR007C 543
4932.Q0105 4932.YBR200W 213
4932.Q0105 4932.YNL121C 306
4932.Q0105 4932.YBR037C 266
4932.Q0105 4932.YBR118W 247
4932.Q0105 4932.YDR375C 766
4932.Q0105 4932.YER164W 156
4932.Q0105 4932.YDL061C 250
4932.Q0105 4932.YKR066C 209
4932.Q0105 4932.Q0160 298
4932.Q0105 4932.YNL188W 321
4932.Q0105 4932.YJR048W 992
4932.Q0105 4932.Q0115 813
4932.Q0105 4932.YOR065W 999
4932.Q0105 4932.YGR029W 210
4932.Q0105 4932.YCR012W 191
4932.Q0105 4932.YDR232W 190
4932.Q0105 4932.Q0140 904
4932.Q0105 4932.YJL166W 999
4932.Q0105 4932.YEL027W 444
4932.Q0105 4932.YGL191W 996
4932.Q0105 4932.YGR183C 999
4932.Q0105 4932.YOR116C 159
4932.Q0105 4932.YHR024C 698
4932.Q0105 4932.YNL052W 986
4932.Q0105 4932.YEL021W 481
4932.Q0105 4932.YPL266W 152
4932.Q0105 4932.YDL120W 529
4932.Q0105 4932.YNL131W 181
4932.Q0105 4932.YML009C 332
4932.Q0105 4932.YLR378C 222
4932.Q0105 4932.YOR151C 664
4932.Q0105 4932.YDR298C 397
4932.Q0105 4932.YPR037C 152
4932.Q0105 4932.YFL036W 866
4932.Q0105 4932.YPR080W 299
4932.Q0105 4932.YHL004W 172
4932.Q0105 4932.YFL039C 358
4932.Q0105 4932.Q0085 999
4932.Q0105 4932.YCR060W 265
4932.Q0105 4932.Q0130 965
4932.Q0105 4932.YOR096W 169
4932.Q0105 4932.YGL030W 244
4932.Q0105 4932.YJR123W 199
4932.Q0105 4932.YGR084C 215
4932.Q0105 4932.YPR191W 999
4932.Q0105 4932.YPR062W 169
4932.Q0105 4932.YPL271W 173
4932.Q0105 4932.YDR194C 650
4932.Q0105 4932.YDR405W 530
4932.Q0105 4932.YIL021W 215
4932.Q0105 4932.YFL037W 323
4932.Q0105 4932.YIL018W 209
4932.Q0105 4932.YOR026W 304
4932.Q0105 4932.YDL067C 983
4932.Q0105 4932.YOR207C 155
4932.Q0105 4932.YMR090W 271
4932.Q0105 4932.YBR217W 303
4932.Q0105 4932.YEL050C 536
4932.Q0105 4932.YBL022C 376
4932.Q0105 4932.YHR008C 264
4932.Q0105 4932.YBL038W 598
4932.Q0105 4932.YAR015W 181
4932.Q0105 4932.YGL040C 214
4932.Q0105 4932.YMR080C 314
4932.Q0105 4932.YHR001W-A 984
4932.Q0105 4932.YLR038C 999
4932.Q0105 4932.YNL178W 574
4932.Q0105 4932.YLR439W 386
4932.Q0105 4932.YGR254W 211
4932.Q0105 4932.YNR036C 510
4932.Q0105 4932.YDR529C 999
4932.Q0105 4932.YOL027C 545
4932.Q0105 4932.Q0250 999
4932.Q0105 4932.YPR010C 155
4932.Q0105 4932.YHR026W 176
4932.Q0105 4932.YGR192C 183
4932.Q0105 4932.YBR251W 310
4932.Q0105 4932.YKL016C 309
4932.Q0105 4932.YLR163C 916
4932.Q0105 4932.YBL099W 584
4932.Q0105 4932.YGR240C 210
4932.Q0105 4932.YDR347W 253
4932.Q0105 4932.YBR283C 169
4932.Q0105 4932.YJR051W 187
4932.Q0105 4932.YNL137C 211
4932.Q0105 4932.YOR341W 159
4932.Q0105 4932.YDR354W 154
4932.Q0105 4932.YIL065C 204
4932.Q0105 4932.YMR256C 989
4932.Q0105 4932.YNR037C 162
4932.Q0115 4932.YOR369C 179
4932.Q0115 4932.Q0085 944
4932.Q0115 4932.YBR039W 296
4932.Q0115 4932.Q0130 743
4932.Q0115 4932.YOR096W 169
4932.Q0115 4932.YCR060W 265
4932.Q0115 4932.YBR146W 260
4932.Q0115 4932.YOR151C 473
4932.Q0115 4932.YLR378C 169
4932.Q0115 4932.YPR037C 152
4932.Q0115 4932.YDR298C 266
4932.Q0115 4932.YGL122C 315
4932.Q0115 4932.YFL036W 463
4932.Q0115 4932.YBR088C 181
4932.Q0115 4932.YPR080W 213
4932.Q0115 4932.YDR194C 764
4932.Q0115 4932.YHR051W 475
4932.Q0115 4932.YDR405W 264
4932.Q0115 4932.YIL021W 215
4932.Q0115 4932.YJR113C 199
4932.Q0115 4932.YKL141W 489
4932.Q0115 4932.YJR123W 199
4932.Q0115 4932.YMR203W 214
4932.Q0115 4932.YMR272C 487
4932.Q0115 4932.YGL030W 244
4932.Q0115 4932.YPR191W 642
4932.Q0115 4932.YKR079C 220
4932.Q0115 4932.YJL166W 845
4932.Q0115 4932.Q0140 334
4932.Q0115 4932.YFR033C 863
4932.Q0115 4932.YEL027W 444
4932.Q0115 4932.YAL033W 245
4932.Q0115 4932.YLR388W 250
4932.Q0115 4932.YPL234C 444
4932.Q0115 4932.YJR048W 530
4932.Q0115 4932.YML054C 235
4932.Q0115 4932.YOR297C 169
4932.Q0115 4932.YGR029W 152
4932.Q0115 4932.YOR065W 991
4932.Q0115 4932.YER050C 210
4932.Q0115 4932.YML009C 285
4932.Q0115 4932.YPL266W 152
4932.Q0115 4932.YDL120W 264
4932.Q0115 4932.YGL191W 248
4932.Q0115 4932.YOR116C 159
4932.Q0115 4932.YGR183C 855
4932.Q0115 4932.YHR024C 275
4932.Q0115 4932.YNL052W 313
4932.Q0115 4932.YPR110C 215
4932.Q0115 4932.YIR034C 349
4932.Q0115 4932.YPL013C 388
4932.Q0115 4932.YEL024W 993
4932.Q0115 4932.Q0275 988
4932.Q0115 4932.YPR166C 418
4932.Q0115 4932.YHR026W 176
4932.Q0115 4932.YBR200W 213
4932.Q0115 4932.YDR529C 860
4932.Q0115 4932.YNR036C 510
4932.Q0115 4932.YEL039C 530
4932.Q0115 4932.Q0250 987
4932.Q0115 4932.YPR010C 155
4932.Q0115 4932.YDR256C 167
4932.Q0115 4932.YDL061C 250
4932.Q0115 4932.YNL137C 654
4932.Q0115 4932.YJR051W 187
4932.Q0115 4932.YDR354W 154
4932.Q0115 4932.YOR341W 159
4932.Q0115 4932.YNR037C 162
4932.Q0115 4932.YBR251W 578
4932.Q0115 4932.YBR118W 213
4932.Q0115 4932.YLR163C 799
4932.Q0115 4932.YBL099W 565
4932.Q0115 4932.YDR375C 390
4932.Q0115 4932.YER164W 156
4932.Q0115 4932.YBR283C 169
4932.Q0115 4932.Q0105 813
4932.Q0115 4932.YGL187C 488
4932.Q0115 4932.YDR044W 154
4932.Q0115 4932.YMR090W 271
4932.Q0115 4932.YEL050C 536
4932.Q0115 4932.YBR217W 303
4932.Q0115 4932.YJR121W 565
4932.Q0115 4932.YIL018W 153
4932.Q0115 4932.YOR026W 304
4932.Q0115 4932.YIL111W 313
4932.Q0115 4932.YOR207C 155
4932.Q0115 4932.Q0045 916
4932.Q0115 4932.YDL004W 564
4932.Q0115 4932.YBL038W 564
4932.Q0115 4932.YJL068C 167
4932.Q0115 4932.YBL045C 425
4932.Q0115 4932.YHR042W 153
4932.Q0115 4932.YGL040C 214
4932.Q0115 4932.YAR015W 329
4932.Q0115 4932.YNL178W 279
4932.Q0115 4932.YMR260C 279
4932.Q0115 4932.YLR038C 452
4932.Q0115 4932.YDL140C 159
4932.Q0115 4932.YLR395C 308
4932.Q0115 4932.YFR031C-A 153
4932.Q0115 4932.YBL022C 376
4932.Q0115 4932.YHR008C 214
4932.Q0130 4932.YLR178C 862
4932.Q0130 4932.YPR133W-A 906
4932.Q0130 4932.YPL183W-A 266
4932.Q0130 4932.YJR123W 312
